Year,Total Sales,NA Sales,EU Sales,JP Sales,Other Sales
2006.0,205.61,90.35,60.35,36.74,205.61
1985.0,49.95,32.48,4.54,12.02,49.95
2008.0,91.22,38.83,25.13,19.96,91.22
2009.0,128.89,53.15,36.18,29.82,128.89
1996.0,73.7,34.54,16.31,21.14,73.7
1989.0,63.88,39.81,7.6,15.06,63.92
1984.0,45.56,32.57,1.95,10.36,45.58
2005.0,127.47,45.05,42.69,29.5,127.47
1999.0,65.33,34.18,13.74,15.88,65.33
2007.0,104.18,42.77,32.81,19.98,104.18
1990.0,35.49,19.75,6.42,8.08,35.51
1988.0,36.44,21.23,6.15,8.13,36.46
2002.0,48.31,25.05,9.89,11.9,48.31
2010.0,61.07,24.18,16.52,16.3,61.07
1998.0,48.41,23.42,12.27,11.32,48.41
2013.0,52.79,19.0,16.21,14.39,52.8
2011.0,51.53,20.24,14.38,13.43,51.53
2014.0,48.65,18.01,11.37,16.12,48.65
1992.0,38.11,18.48,6.08,12.66,38.11
1993.0,20.04,9.53,3.09,6.99,20.04
2004.0,60.65,28.3,12.43,17.47,60.65
2012.0,56.47,20.84,13.97,18.56,56.47
1994.0,24.99,10.96,4.19,9.0,24.99
1997.0,25.8,15.8,5.22,4.23,25.8
2001.0,45.37,23.84,8.84,11.15,45.37
2003.0,38.14,20.15,7.08,9.85,38.14
1986.0,16.18,6.73,1.73,7.45,16.18
2000.0,34.05,15.0,6.42,10.53,34.05
1995.0,16.72,6.7,2.21,7.45,16.72
1991.0,15.97,6.95,2.47,6.22,15.97
2015.0,27.08,9.25,7.49,8.57,27.08
1987.0,11.95,5.13,1.18,5.46,11.95
1983.0,10.96,2.32,0.46,8.1,10.98
,2.13,1.12,0.44,0.43,2.13
2016.0,3.47,1.16,0.93,1.17,3.47
