Game Name,Total Sales,NA Sales,EU Sales,JP Sales,Other Sales
Wii Sports,82.74,41.49,29.02,3.77,8.46
Super Mario Bros.,40.24,29.08,3.58,6.81,0.77
Mario Kart Wii,35.82,15.85,12.88,3.79,3.31
Wii Sports Resort,33.0,15.75,11.01,3.28,2.96
Pokemon Red/Pokemon Blue,31.37,11.27,8.89,10.22,1.0
Tetris,30.26,23.2,2.26,4.22,0.58
New Super Mario Bros.,30.01,11.38,9.23,6.5,2.9
Wii Play,29.02,14.03,9.2,2.93,2.85
New Super Mario Bros. Wii,28.62,14.59,7.06,4.7,2.26
Duck Hunt,28.31,26.93,0.63,0.28,0.47
Nintendogs,24.76,9.07,11.0,1.93,2.75
Mario Kart DS,23.42,9.81,7.57,4.13,1.92
Pokemon Gold/Pokemon Silver,23.1,9.0,6.18,7.2,0.71
Wii Fit,22.72,8.94,8.03,3.6,2.15
Wii Fit Plus,22.0,9.09,8.59,2.53,1.79
Kinect Adventures!,21.82,14.97,4.94,0.24,1.67
Grand Theft Auto V,21.4,7.01,9.27,0.97,4.14
Grand Theft Auto: San Andreas,20.81,9.43,0.4,0.41,10.57
Super Mario World,20.61,12.78,3.75,3.54,0.55
Brain Age: Train Your Brain in Minutes a Day,20.22,4.75,9.26,4.16,2.05
Pokemon Diamond/Pokemon Pearl,18.36,6.42,4.52,6.04,1.37
Super Mario Land,18.14,10.83,2.71,4.18,0.42
Super Mario Bros. 3,17.28,9.54,3.44,3.84,0.46
Grand Theft Auto V,16.38,9.63,5.31,0.06,1.38
Grand Theft Auto: Vice City,16.15,8.41,5.49,0.47,1.78
Pokemon Ruby/Pokemon Sapphire,15.85,6.06,3.9,5.38,0.5
Pokemon Black/Pokemon White,15.32,5.57,3.28,5.65,0.82
Brain Age 2: More Training in Minutes a Day,15.3,3.44,5.36,5.32,1.18
Gran Turismo 3: A-Spec,14.98,6.85,5.09,1.87,1.16
Call of Duty: Modern Warfare 3,14.76,9.03,4.28,0.13,1.32
Pokémon Yellow: Special Pikachu Edition,14.64,5.89,5.04,3.12,0.59
Call of Duty: Black Ops,14.64,9.67,3.73,0.11,1.13
Pokemon X/Pokemon Y,14.35,5.17,4.05,4.34,0.79
Call of Duty: Black Ops 3,14.24,5.77,5.81,0.35,2.31
Call of Duty: Black Ops II,14.03,4.99,5.88,0.65,2.52
Call of Duty: Black Ops II,13.73,8.25,4.3,0.07,1.12
Call of Duty: Modern Warfare 2,13.51,8.52,3.63,0.08,1.29
Call of Duty: Modern Warfare 3,13.46,5.54,5.82,0.49,1.62
